Z,N,A,actual_binding_energy_per_A_keV,uam_v4_prediction_keV_per_A,frdm2012_prediction_keV_per_A,uam_v4_residual_keV_per_A,frdm2012_residual_keV_per_A,uam_v4_absolute_residual_keV_per_A,frdm2012_absolute_residual_keV_per_A,lower_error_model
90,143,233,7602.8937,7603.312596400232,7601.974248927038,0.41889640023237007,-0.9194510729612375,0.41889640023237007,0.9194510729612375,UAM_V4
90,144,234,7596.8557,7596.992756143138,7595.854700854701,0.13705614313767,-1.0009991452989198,0.13705614313767,1.0009991452989198,UAM_V4
90,145,235,7584.3862,7584.197093431903,7583.574468085107,-0.18910656809657667,-0.8117319148932438,0.18910656809657667,0.8117319148932438,UAM_V4
90,146,236,7576.9688,7575.890367313171,7576.525423728814,-1.078432686828819,-0.4433762711860254,1.078432686828819,0.4433762711860254,FRDM2012
90,147,237,7563.4433,7562.1616669777995,7563.502109704641,-1.2816330222003671,0.058809704641134886,1.2816330222003671,0.058809704641134886,FRDM2012
90,148,238,7555.0,7556.844721703367,7555.546218487395,1.8447217033672132,0.5462184873949809,1.8447217033672132,0.5462184873949809,FRDM2012
90,149,239,7540.0,7542.5004,7541.589958158996,2.5003999999998996,1.5899581589956142,2.5003999999998996,1.5899581589956142,FRDM2012
91,120,211,7629.3948,7632.2321,7629.905213270142,2.837300000000141,0.5104132701417257,2.837300000000141,0.5104132701417257,FRDM2012
91,121,212,7633.6289,7636.2068,7635.047169811321,2.577900000000227,1.4182698113208971,2.577900000000227,1.4182698113208971,FRDM2012
91,122,213,7644.8027,7643.384050000001,7645.962441314554,-1.4186499999996158,1.1597413145536848,1.4186499999996158,1.1597413145536848,FRDM2012
91,123,214,7647.7037,7646.508100210016,7649.953271028037,-1.195599789984044,2.2495710280372805,1.195599789984044,2.2495710280372805,UAM_V4
91,124,215,7657.3733,7657.847925359342,7658.325581395349,0.4746253593420988,0.9522813953490186,0.4746253593420988,0.9522813953490186,UAM_V4
91,125,216,7659.2006,7656.426159644382,7660.138888888889,-2.774440355618026,0.9382888888885645,2.774440355618026,0.9382888888885645,FRDM2012
91,126,217,7664.6438,7662.219323576372,7666.820276497696,-2.424476423628221,2.1764764976960578,2.424476423628221,2.1764764976960578,FRDM2012
91,127,218,7659.1935,7660.010613918664,7660.688073394495,0.8171139186633809,1.4945733944950916,0.8171139186633809,1.4945733944950916,UAM_V4
91,128,219,7661.3783,7662.880424913161,7661.141552511415,1.5021249131605146,-0.23674748858502426,1.5021249131605146,0.23674748858502426,FRDM2012
91,129,220,7655.5364,7655.936121855196,7657.090909090909,0.39972185519582126,1.5545090909090504,0.39972185519582126,1.5545090909090504,UAM_V4
91,130,221,7656.9809,7656.977772540542,7658.14479638009,-0.0031274594575734227,1.1638963800905913,0.0031274594575734227,1.1638963800905913,UAM_V4
91,131,222,7651.2373,7651.621713199364,7653.468468468468,0.38441319936464424,2.2311684684682405,0.38441319936464424,2.2311684684682405,UAM_V4
91,132,223,7651.8957,7652.2851631996555,7653.542600896861,0.3894631996554381,1.6469008968606431,0.3894631996554381,1.6469008968606431,UAM_V4
91,133,224,7646.9612,7646.947315417954,7648.214285714285,-0.01388458204564813,1.2530857142855893,0.01388458204564813,1.2530857142855893,UAM_V4
91,134,225,7646.6504,7646.460007287298,7647.377777777778,-0.1903927127023053,0.7273777777772921,0.1903927127023053,0.7273777777772921,UAM_V4
91,135,226,7641.1093,7640.597080671006,7640.575221238938,-0.5122193289944335,-0.5340787610621192,0.5122193289944335,0.5340787610621192,UAM_V4
91,136,227,7639.4945,7639.305205482844,7638.193832599119,-0.1892945171557585,-1.3006674008811387,0.1892945171557585,1.3006674008811387,UAM_V4
91,137,228,7632.2076,7632.597449537906,7630.570175438596,0.38984953790622967,-1.6374245614033498,0.38984953790622967,1.6374245614033498,UAM_V4
91,138,229,7629.8752,7630.036379149233,7627.772925764192,0.16117914923233911,-2.1022742358081814,0.16117914923233911,2.1022742358081814,UAM_V4
91,139,230,7621.8958,7621.851240716768,7619.782608695652,-0.044559283232047164,-2.11319130434822,0.044559283232047164,2.11319130434822,UAM_V4
91,140,231,7618.4267,7618.518986894571,7616.190476190476,0.09228689457086148,-2.2362238095238354,0.09228689457086148,2.2362238095238354,UAM_V4
91,141,232,7609.5072,7609.433429331526,7607.370689655172,-0.07377066847402602,-2.1365103448279115,0.07377066847402602,2.1365103448279115,UAM_V4
91,142,233,7604.8675,7604.526407061695,7603.304721030043,-0.34109293830533716,-1.562778969957435,0.34109293830533716,1.562778969957435,UAM_V4
91,143,234,7594.6837,7594.676613629743,7593.247863247863,-0.007086370256729424,-1.4358367521363107,0.007086370256729424,1.4358367521363107,UAM_V4
91,144,235,7588.4139,7588.772133338422,7587.744680851064,0.35823333842199645,-0.6692191489355537,0.35823333842199645,0.6692191489355537,UAM_V4
91,145,236,7577.5573,7577.608931286989,7576.822033898305,0.05163128698859509,-0.7352661016957427,0.05163128698859509,0.7352661016957427,UAM_V4
91,146,237,7570.3847,7570.140606346815,7570.210970464135,-0.24409365318479104,-0.1737295358643678,0.24409365318479104,0.1737295358643678,FRDM2012
91,147,238,7558.3449,7557.327732818297,7558.6134453781515,-1.0171671817033712,0.26854537815142976,1.0171671817033712,0.26854537815142976,FRDM2012
91,148,239,7550.0,7549.245578984007,7550.794979079498,-0.7544210159931026,0.7949790794982619,0.7544210159931026,0.7949790794982619,UAM_V4
91,149,240,7537.0,7539.144807858626,7538.416666666667,2.1448078586263364,1.4166666666669698,2.1448078586263364,1.4166666666669698,FRDM2012
91,150,241,7528.0,7529.6153,7529.834024896266,1.6153000000003885,1.8340248962658734,1.6153000000003885,1.8340248962658734,UAM_V4
92,123,215,7620.7821,7631.7133,7622.232558139535,10.93119999999999,1.4504581395349305,10.93119999999999,1.4504581395349305,FRDM2012
92,124,216,7631.3072,7641.4382000000005,7632.824074074074,10.131000000000313,1.516874074073712,10.131000000000313,1.516874074073712,FRDM2012
92,125,217,7634.0,7628.5344000000005,7634.377880184332,-5.46559999999954,0.37788018433184334,5.46559999999954,0.37788018433184334,FRDM2012
92,126,218,7640.7191,7635.637854924915,7642.981651376147,-5.081245075085462,2.262551376146803,5.081245075085462,2.262551376146803,FRDM2012
92,127,219,7636.2867,7637.0206616252835,7637.16894977169,0.7339616252838823,0.8822497716901125,0.7339616252838823,0.8822497716901125,UAM_V4
92,128,220,7640.0,7641.2460760367485,7639.954545454545,1.2460760367484909,-0.04545454545495886,1.2460760367484909,0.04545454545495886,FRDM2012
92,129,221,7634.6849,7634.725748656608,7635.972850678733,0.04084865660752257,1.2879506787330683,0.04084865660752257,1.2879506787330683,UAM_V4
92,130,222,7637.7651,7637.93247816076,7638.828828828829,0.16737816076056333,1.063728828828971,0.16737816076056333,1.063728828828971,UAM_V4
92,131,223,7631.7611,7632.531554654475,7634.4843049327355,0.7704546544755431,2.7232049327358254,0.7704546544755431,2.7232049327358254,UAM_V4
92,132,224,7635.0742,7635.1977475994245,7636.428571428572,0.12354759942445526,1.3543714285715396,0.12354759942445526,1.3543714285715396,UAM_V4
92,133,225,7629.7717,7629.4603262255,7631.377777777778,-0.31137377450068016,1.6060777777775002,0.31137377450068016,1.6060777777775002,UAM_V4
92,134,226,7631.9166,7631.909665006119,7632.477876106194,-0.0069349938803497935,0.5612761061947822,0.0069349938803497935,0.5612761061947822,UAM_V4
